year,hires,terminations,net_change,net_change_percentage
2000,185,26,159,85.95
2001,885,197,688,77.74
2002,850,162,688,80.94
2003,890,198,692,77.75
2004,881,206,675,76.62
2005,838,198,640,76.37
2006,856,202,654,76.40
2007,882,159,723,81.97
2008,876,157,719,82.08
2009,901,164,737,81.80
2010,854,147,707,82.79
2011,878,129,749,85.31
2012,869,127,742,85.39
2013,862,107,755,87.59
2014,845,102,743,87.93
2015,824,102,722,87.62
2016,883,87,796,90.15
2017,864,69,795,92.01
2018,916,64,852,93.01
2019,839,63,776,92.49
2020,804,48,756,94.03
